날짜,시가,고가,저가,종가,거래량,등락률
2025-02-17,6449,7750,6089,6265,58651268,
2025-02-18,6889,8140,6755,7665,53962392,22.3463687150838
2025-02-19,7490,8375,7055,7480,23433446,-2.4135681669928246
2025-02-20,7975,8150,7010,7010,9305320,-6.283422459893048
2025-02-21,7045,7400,6835,7080,5676126,0.9985734664764622
2025-02-24,6909,7340,6515,6535,4931504,-7.69774011299435
2025-02-25,6330,6745,6055,6080,2665490,-6.962509563886764
2025-02-26,6075,6265,5725,5800,1673922,-4.605263157894736
2025-02-27,5860,6075,5750,5805,1355522,0.08620689655172414
2025-02-28,5615,5770,5400,5400,1235864,-6.976744186046512
2025-03-04,5300,5425,5020,5300,969642,-1.8518518518518516
2025-03-05,5440,5490,5300,5340,434564,0.7547169811320755
2025-03-06,5345,5357,4997,5000,673134,-6.367041198501873
2025-03-07,5045,5100,4915,4915,387844,-1.7000000000000002
2025-03-10,4995,5135,4930,5125,398192,4.27263479145473
2025-03-11,4945,5275,4905,5230,535894,2.048780487804878
2025-03-12,5295,5295,5110,5110,346736,-2.294455066921606
2025-03-13,5160,5295,5100,5125,567458,0.29354207436399216
2025-03-14,5050,5250,5000,5080,389390,-0.878048780487805
2025-03-17,5080,5135,4925,4960,526436,-2.3622047244094486
2025-03-18,5025,5425,4950,5190,1809450,4.637096774193548
2025-03-19,5155,5350,5040,5335,1033272,2.7938342967244703
2025-03-20,5395,5410,5100,5100,669544,-4.404873477038426
2025-03-21,5065,5275,5000,5050,387946,-0.9803921568627451
2025-03-24,5050,5145,4980,5005,211284,-0.891089108910891
2025-03-25,5040,5185,4990,5055,380864,0.999000999000999
2025-03-26,5060,5090,4990,4990,226390,-1.2858555885262115
2025-03-27,4990,5075,4935,4935,299494,-1.1022044088176353
2025-03-28,4960,4965,4800,4805,246794,-2.634245187436677
2025-03-31,4785,4850,4565,4585,402072,-4.578563995837669
2025-04-01,4595,5325,4585,4855,2462664,5.888767720828789
2025-04-02,4900,4900,4640,4670,302206,-3.810504634397528
2025-04-03,4605,4865,4585,4740,298568,1.4989293361884368
2025-04-04,4695,5075,4695,4985,1102848,5.168776371308017
2025-04-07,4850,4850,4535,4600,519994,-7.723169508525577
2025-04-08,4625,4685,4510,4515,296140,-1.8478260869565217
2025-04-09,4500,4630,4465,4465,263952,-1.1074197120708749
2025-04-10,4660,4660,4570,4595,153148,2.9115341545352744
2025-04-11,4540,4655,4515,4635,128660,0.8705114254624592
2025-04-14,4635,4740,4615,4675,185780,0.8629989212513484
2025-04-15,4690,4730,4620,4720,210032,0.9625668449197862
2025-04-16,4715,5270,4655,4975,2262418,5.402542372881356
2025-04-17,4985,5155,4900,5060,781372,1.7085427135678393
2025-04-18,5040,5100,4950,5015,658584,-0.8893280632411068
2025-04-21,5015,5135,4975,5045,508106,0.5982053838484547
2025-04-22,5025,5300,5000,5040,863876,-0.09910802775024777
2025-04-23,5075,5100,4945,5055,384576,0.2976190476190476
2025-04-24,5060,5195,5035,5065,402534,0.19782393669634024
2025-04-25,5075,5125,5030,5035,268248,-0.5923000987166831
2025-04-28,5050,5075,4915,4915,277562,-2.3833167825223436
2025-04-29,4940,5050,4900,4995,226388,1.627670396744659
2025-04-30,4950,5005,4820,4825,222492,-3.4034034034034035
2025-05-02,4825,4855,4735,4755,206924,-1.450777202072539
2025-05-07,4775,4775,4665,4720,161854,-0.7360672975814931
2025-05-08,4755,4800,4710,4745,87576,0.5296610169491525
2025-05-09,4745,4775,4690,4710,95704,-0.7376185458377239
2025-05-12,4710,4725,4645,4660,129744,-1.0615711252653928
