날짜,시가,고가,저가,종가,거래량,등락률
2019-03-05,15096,16208,14800,15616,15995367,
2019-03-06,15911,17196,15738,16975,6007950,8.702612704918032
2019-03-07,17369,17888,17097,17296,4126721,1.891016200294551
2019-03-08,17295,17493,16702,17271,1910858,-0.14454209065679927
2019-03-11,17196,17369,16332,17098,1597077,-1.0016791152799491
2019-03-12,17147,17419,16480,16604,1356933,-2.8892268101532346
2019-03-13,16579,16603,15788,16308,1823200,-1.7827029631414117
2019-03-14,16554,17468,16332,17296,2820362,6.058376257051753
2019-03-15,17320,17592,16406,16900,1937523,-2.2895467160037004
2019-03-18,16801,17073,16257,16703,1610308,-1.165680473372781
2019-03-19,16875,17962,16727,17963,3981717,7.54355504999102
2019-03-20,18086,18284,17394,17642,2422673,-1.7870066247286087
2019-03-21,17839,18407,17666,18037,2560413,2.2389751728828933
2019-03-22,18061,18160,16900,17271,4400307,-4.246825968841826
2019-03-25,16925,16999,16307,16653,2532137,-3.578252562098315
2019-03-26,16776,17073,16455,16876,776323,1.339098060409536
2019-03-27,17122,17542,16826,17419,1186907,3.2175871059492773
2019-03-28,17122,17122,15368,15467,3409025,-11.206154199437396
2019-03-29,15467,15615,14157,15097,3075627,-2.3921898234951833
2019-04-01,14849,15244,14750,15047,831587,-0.3311916274756574
2019-04-02,15195,15244,14454,14627,975754,-2.791254070578853
2019-04-03,15022,15318,14849,15097,1161355,3.2132357968141108
2019-04-04,15170,15220,14899,15047,540148,-0.3311916274756574
2019-04-05,14602,14923,14602,14726,937330,-2.1333156110852665
2019-04-08,14824,15738,14775,15690,1451219,6.546244737199511
2019-04-09,15763,16307,15738,16011,1298896,2.045889101338432
2019-04-10,16010,16455,15887,16357,733244,2.1610143026669166
2019-04-11,16505,16554,16010,16554,632623,1.2043773308063825
2019-04-12,16529,16727,16257,16308,507755,-1.4860456687205508
2019-04-15,16208,16307,15491,15789,746770,-3.1824871228844738
2019-04-16,15763,15763,15294,15467,537124,-2.0393945151687887
2019-04-17,15566,15862,15368,15566,367685,0.640072412232495
2019-04-18,15615,15887,15442,15566,355380,0.0
2019-04-19,15491,15813,15467,15640,325795,0.47539509186688933
2019-04-22,15640,15936,15590,15937,451677,1.8989769820971867
2019-04-23,16060,16060,15689,15789,425343,-0.928656585304637
2019-04-24,15936,15986,15244,15492,549342,-1.8810564316929508
2019-04-25,15590,15590,15170,15492,367522,0.0
2019-04-26,15393,15491,15121,15220,273008,-1.7557449005938548
2019-04-29,15220,15442,15146,15393,282469,1.1366622864651774
2019-04-30,15516,15516,15121,15319,318707,-0.48073799779120385
2019-05-02,15269,15911,15195,15838,594016,3.387949605065605
2019-05-03,15837,16282,15837,16135,751273,1.8752367723197372
2019-05-07,15813,15961,15566,15912,333418,-1.3820886272079331
2019-05-08,15664,15689,15368,15640,439331,-1.7094017094017095
2019-05-09,15467,15615,14182,14479,1360706,-7.423273657289002
2019-05-10,14503,14750,13811,14578,542728,0.683748877684923
2019-05-13,14404,14454,13663,13985,633481,-4.067773357113459
2019-05-14,13589,14034,13194,13590,768952,-2.8244547729710403
2019-05-15,13762,14602,13663,14578,538273,7.270051508462104
2019-05-16,14577,14750,14157,14405,395451,-1.1867197146384965
2019-05-17,14404,14627,13762,13861,514608,-3.7764665046858727
2019-05-20,13935,14108,13243,13318,558360,-3.9174662722747278
2019-05-21,13342,13465,12947,13194,479650,-0.9310707313410422
2019-05-22,13540,14132,13416,13565,961566,2.811884189783235
2019-05-23,13737,13959,13589,13812,549824,1.8208625138223369
2019-05-24,13688,14083,13589,13960,354562,1.071532001158413
2019-05-27,14132,14997,13836,14578,702670,4.426934097421204
2019-05-28,14824,14824,14429,14627,428685,0.33612292495541224
2019-05-29,14627,14948,14305,14602,459762,-0.17091679770287824
2019-05-30,14874,15862,14874,15418,1932573,5.588275578687851
2019-05-31,15244,15467,14651,14775,1026379,-4.170450123232585
2019-06-03,14750,15467,14429,15319,1017089,3.681895093062606
2019-06-04,15318,16060,15244,15937,1690861,4.034205888112801
2019-06-05,15516,16183,15442,16085,2636487,0.928656585304637
2019-06-07,15911,16653,15911,16554,1188311,2.915760024867889
2019-06-10,16752,16925,15714,16258,1552466,-1.7880874713060286
2019-06-11,16159,16603,15837,16431,1394196,1.064091524172715
2019-06-12,16381,16603,15986,16258,853450,-1.0528878339723693
2019-06-13,16084,16850,16060,16332,2815320,0.45516053635133474
2019-06-14,16332,16455,15738,15937,820638,-2.4185647807984325
2019-06-17,15887,15961,15467,15665,461653,-1.7067202108301438
2019-06-18,15689,15837,14577,14825,1737996,-5.362272582189594
2019-06-19,15022,15022,14256,14306,1674854,-3.500843170320405
2019-06-20,14132,14627,14009,14479,736487,1.209282818397875
2019-06-21,14454,14824,14256,14479,615775,0.0
2019-06-24,14503,14627,14330,14356,400261,-0.8495061813661164
2019-06-25,14577,14997,14503,14677,750579,2.2359988854834216
2019-06-26,14750,14750,14478,14504,261033,-1.1787149962526402
2019-06-27,14503,14874,14429,14652,312209,1.0204081632653061
2019-06-28,14651,14849,14528,14751,420508,0.6756756756756757
2019-07-01,14824,14948,14528,14800,361989,0.33218086909362077
2019-07-02,14726,14899,14429,14430,333629,-2.5
2019-07-03,14701,15047,14503,14775,775844,2.390852390852391
2019-07-04,14899,14997,14602,14874,470496,0.6700507614213198
2019-07-05,14899,14923,14330,14825,491744,-0.32943391152346374
2019-07-08,14750,14775,13836,13935,716854,-6.003372681281619
2019-07-09,13861,14207,13663,13861,666416,-0.5310369573017582
2019-07-10,13910,14182,13861,14034,301320,1.2481061972440661
2019-07-11,14083,14750,14058,14677,543335,4.581730084081516
2019-07-12,14602,15813,14553,15665,1726433,6.731620903454385
2019-07-15,15689,15887,15343,15690,639480,0.15959144589849983
2019-07-16,15837,16307,15615,15640,1183605,-0.3186743148502231
2019-07-17,16257,16430,15813,16135,1817217,3.164961636828645
2019-07-18,15961,16035,15664,15789,739275,-2.1444065695692593
2019-07-19,15887,16109,15467,15640,676815,-0.9436949775159921
2019-07-22,15714,15738,15096,15270,715729,-2.3657289002557547
2019-07-23,15047,15047,14182,14331,2496517,-6.149312377210216
2019-07-24,14429,14651,14182,14405,646293,0.5163631288814459
2019-07-25,14330,14528,13959,14108,620593,-2.0617841027421036
2019-07-26,14034,14182,13959,14059,433105,-0.34732066912390136
2019-07-29,13984,13984,13391,13417,792609,-4.566469876947151
2019-07-30,13465,13836,13218,13837,465968,3.1303570097637325
2019-07-31,13737,14380,13490,14257,607694,3.0353400303534004
2019-08-01,14108,14281,13787,13935,383170,-2.2585396647260993
2019-08-02,13540,14108,13367,13861,531995,-0.5310369573017582
2019-08-05,13638,13787,12502,12577,993934,-9.263400909025323
2019-08-06,12106,12872,11971,12193,847303,-3.0531923352150754
2019-08-07,12218,12601,12218,12601,551069,3.346182235709013
2019-08-08,12749,13317,12675,13244,484357,5.102769621458615
2019-08-09,13441,13465,12947,13169,312971,-0.5662941709453337
2019-08-12,13169,13367,12971,13096,269222,-0.5543321436707419
2019-08-13,13070,13070,12601,12675,414581,-3.214722052535125
2019-08-14,12996,13317,12798,13219,357582,4.291913214990138
2019-08-16,12922,13045,12774,12923,297399,-2.2392011498600497
2019-08-19,13095,13120,12872,13021,179232,0.7583378472490907
2019-08-20,13243,14281,13243,14281,1033060,9.676676138545428
2019-08-21,14281,14478,14058,14331,479443,0.3501155381275821
2019-08-22,14355,14726,14231,14479,682966,1.0327262577628917
2019-08-23,14157,14701,13910,14578,791508,0.683748877684923
2019-08-26,14207,14330,13762,13861,886860,-4.918370146796542
2019-08-27,14305,14404,13811,13911,653493,0.3607243344636029
2019-08-28,13910,14627,13910,14627,528664,5.14700596650133
2019-08-29,14750,14750,14454,14652,506474,0.17091679770287824
2019-08-30,14800,14973,14602,14677,458358,0.17062517062517063
2019-09-02,14454,14454,13910,14232,808273,-3.0319547591469647
2019-09-03,14182,14429,14083,14207,327446,-0.17566048341765036
2019-09-04,14182,14231,13885,13985,727464,-1.5626099809952843
2019-09-05,14009,14256,13935,14034,740851,0.3503754022166607
2019-09-06,14182,14182,13540,13738,872799,-2.109163460168163
